2024-10-14 17:55:41,Type1,cars
2024-10-14 17:55:48,Type1,cars
2024-10-14 17:55:53,Type1,bus
2024-10-14 17:55:59,Type1,bus
2024-10-14 17:56:04,Type1,bus
2024-10-14 17:56:08,Type1,bus
2024-10-14 17:56:12,Type1,bus
2024-10-14 17:56:16,Type1,bus
2024-10-14 17:56:20,Type1,bus
2024-10-14 17:56:23,Type1,bus
2024-10-14 17:56:26,Type1,bus
2024-10-14 17:56:30,Type1,bus
2024-10-14 17:56:33,Type1,bus
2024-10-14 17:56:36,Type1,bus
2024-10-14 17:56:38,Type1,bus
2024-10-14 17:56:41,Type1,bus
2024-10-14 17:56:44,Type1,bus
2024-10-14 17:56:47,Type1,bus
2024-10-14 17:56:50,Type1,bus
2024-10-14 17:56:53,Type1,bus
2024-10-14 17:56:56,Type1,bus
2024-10-14 17:56:59,Type1,bus
2024-10-14 17:57:02,Type1,bus
2024-10-14 17:57:05,Type1,bus
2024-10-14 17:57:07,Type1,bus
2024-10-14 17:57:10,Type1,bus
2024-10-14 17:57:13,Type1,bus
2024-10-14 17:57:16,Type1,bus
2024-10-14 17:57:19,Type1,bus
2024-10-14 17:57:22,Type1,bus
2024-10-14 17:57:25,Type1,bus
2024-10-14 17:57:28,Type1,bus
2024-10-14 17:57:31,Type1,bus
2024-10-14 17:57:34,Type1,bus
2024-10-14 17:57:37,Type1,bus
2024-10-14 17:57:40,Type1,bus
2024-10-14 17:57:43,Type1,bus
2024-10-14 17:57:46,Type1,bus
2024-10-14 17:57:48,Type1,bus
2024-10-14 17:57:51,Type1,bus
2024-10-14 17:57:54,Type1,bus
2024-10-14 17:57:57,Type1,bus
2024-10-14 17:58:00,Type1,bus
2024-10-14 17:58:03,Type1,bus
2024-10-14 17:58:07,Type1,bus
2024-10-14 17:58:10,Type1,bus
2024-10-14 17:58:14,Type1,bus
